Generation,Best Fitness
1,1.7229736409228666
2,1.7229736409228666
3,1.7229736409228666
4,1.7229736409228666
5,1.7229736409228666
6,0.7201234828875916
7,0.7201234828875916
8,0.7201234828875916
9,0.7199157724011906
10,0.7199157724011906
11,0.5444029133800836
12,0.5402566710176793
13,0.5232160146597128
14,0.5232160146597128
15,0.5198986112765033
16,0.519277103732769
17,0.519277103732769
18,0.519277103732769
19,0.519277103732769
20,0.5192509080667201
21,0.5192509080667201
22,0.5192509080667201
23,0.5192509080667201
24,0.5167043844410838
25,0.5167043844410838
26,0.5091111716358471
27,0.5091111716358471
28,0.5091111716358471
29,0.5091111716358471
30,0.5091111716358471
31,0.5091111716358471
32,0.5065955462835579
33,0.5065955462835579
34,0.5065955462835579
35,0.5065955462835579
36,0.5065955462835579
37,0.5065955462835579
38,0.5065955462835579
39,0.5065955462835579
40,0.5065955462835579
41,0.5065955462835579
42,0.5065955462835579
43,0.5065955462835579
44,0.5065955462835579
45,0.5065955462835579
46,0.5065955462835579
47,0.5065955462835579
48,0.5065955462835579
49,0.5065955462835579
50,0.5065955462835579
